Lake,Total Fish LB,Distance
Oak,62.1,32.1
Spring,40.2,13.6
Eagle (Hennepin),50,85.1
Fish (Scott),40.1,20.5
Independence,60.1,25.3
Nokomis,30.1,5.8
O'Dowd,30.2,30.2
Waconia,79.2,37.3
Bde Maka Ska [Calhoun],93.1,5.4
Bryant,11.2,17.3
Cedar (Hennepin),82.2,6.8
Cedar (Scott),106,35.9
Eagle (Carver),31.1,44.2
Fish (Hennepin),58.1,21.3
Half Moon,17.1,70.7
Harriet,58.2,7.2
Hyland,106.1,16.9
Lake of the Isles,67.1,5.4
Lower Prior,1.3,24.8
Long,11.2,19.1
Lotus,11.3,21.4
Medicine,11.3,12.3
Minnetonka,37.1,27.3
Parley,62.1,33.4
Riley,67.1,23.1
Susan,11.2,22.7
Upper Prior,11.2,28
